 .,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
.,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,177611,19,176487,1105,0,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,272394,10,270384,2000,0,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,316586,28,315260,1298,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,203244,3,201964,1277,0,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,136896,9,135391,1496,0,0,0,0,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,144244,0,143377,867,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,155937,1,154790,1146,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,164374,7,163277,1090,0,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,133952,8,133146,798,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,190938,6,189748,1184,0,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,92241,3,91558,680,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,193378,24,192217,1137,0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,134888,1,134235,652,0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,1165,20,1142,3,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,4302,33,4247,22,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,1215,0,1215,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,3743,46,3679,18,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,599,8,591,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,273,3,270,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,528,2,525,1,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,1072,16,1053,3,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,3581,37,3515,29,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,940,4,934,2,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,2893,17,2863,13,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,851,6,837,8,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,3666,35,3616,15,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2883,65,2801,17,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,507,9,498,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,22351,79,22167,105,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,314,8,306,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,447,5,439,3,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,2947,10,2916,21,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,1263,2,1256,5,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,426,12,412,2,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1228,32,1195,1,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,2026,3,2016,7,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,4336,14,4307,15,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,2042,8,2028,6,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,13,0,13,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,9002,8480,447,75,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,17674,16452,1024,198,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,11179,10730,379,70,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,8389,7465,834,90,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,29971,28236,1498,237,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,4825,4657,105,63,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,3783,3522,219,42,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,14605,12740,1730,135,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,10428,9937,440,51,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,10786,9515,1215,56,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,41212,38361,2409,442,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,4728,4508,199,21,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,14693,38,568,101,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,27793,25841,1656,296,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,7693,6539,1116,38,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,9158,7880,1160,118,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,31891,29763,1752,376,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,38931,36571,2074,286,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,144076,127717,15372,987,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,9400,8719,552,129,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,10592,9534,955,103,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,7505,7073,353,79,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,19599,18336,1135,128,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,2419,2324,80,15,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,15831,15190,557,84,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,29073,26334,2506,233,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,13698,12726,828,144,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,192,191,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,15036,14356,473,207,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,25196,23185,1727,284,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,2206,2142,47,17,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,24358,22282,1798,278,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,7830,7074,666,90,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,1730,1686,37,7,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,16493,110,16243,140,0,0,0,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,8359,4,8245,110,0,0,0,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,21385,13,21293,79,0,0,0,0,0,,
78,BR,Bihar,BR_Banka,Banka,9102,7,8976,119,0,0,0,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,31623,2,31057,564,0,0,0,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,29924,77,29483,364,0,0,0,0,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,12039,13,11786,240,0,0,0,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,10399,2,10177,220,0,0,0,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,13707,24,13311,372,0,0,0,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,21138,5,20596,537,0,0,0,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,37728,43,37311,374,0,0,0,0,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,17902,10,17632,260,0,0,0,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,11063,3,10940,120,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,12083,7,11832,244,0,0,0,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,5778,46,5585,147,0,0,0,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,20035,6,19760,269,0,0,0,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,10982,7,10809,166,0,0,0,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,11442,25,11310,107,0,0,0,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,8641,0,8538,103,0,0,0,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,15189,4,15070,115,0,0,0,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,20287,21,19877,389,0,0,0,0,0,,
95,BR,Bihar,BR_Munger,Munger,18075,22,17779,274,0,0,0,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,36675,36,36009,630,0,0,0,0,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,25727,20,25233,474,0,0,0,0,0,,
98,BR,Bihar,BR_Nawada,Nawada,11137,4,10875,258,0,0,0,0,0,,
100,BR,Bihar,BR_Patna,Patna,186203,514,182843,2846,0,0,0,0,0,,
102,BR,Bihar,BR_Purnia,Purnia,28257,39,27986,232,0,0,0,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,15717,40,15402,275,0,0,0,0,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,20622,11,20414,197,0,0,0,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,25204,9,24933,262,0,0,0,0,0,,
106,BR,Bihar,BR_Saran,Saran,26406,19,26126,261,0,0,0,0,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,8118,11,8002,105,0,0,0,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,4755,6,4697,52,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,10672,2,10540,130,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,16637,7,16343,287,0,0,0,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,18680,119,18403,158,0,0,0,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,22598,19,22169,409,1,0,0,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,23118,0,22723,395,0,0,0,0,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,96670,922,94579,1169,0,0,0,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,852,0,721,131,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,29976,177,29387,412,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,45927,89,45339,499,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,22524,40,22363,121,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,22324,81,21994,249,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,24476,135,24142,199,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,9817,8,9751,58,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,76925,133,75552,1240,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,12158,17,12114,27,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,32015,211,31241,563,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,118481,435,116145,1901,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,20617,20,20401,196,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,64015,78,63073,864,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,31787,75,31497,215,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,25019,33,24717,269,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,15944,20,15822,102,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,63709,116,62991,602,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,29717,51,29485,181,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,33473,179,32919,375,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,26194,29,25995,170,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,5002,2,4986,14,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,73982,225,72761,996,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,196940,652,193037,3251,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,64368,296,63525,547,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,8991,6,8964,21,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,32160,40,31891,229,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,38104,98,37756,250,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,28174,63,27872,239,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,13345,51,13145,149,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,6342,8,6326,3,5,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,3915,4,3884,1,26,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,1276,0,1275,0,1,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,200,9,190,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
155,GA,Goa,GA_North Goa,North Goa,2668,1639,964,65,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
156,GA,Goa,GA_South Goa,South Goa,3511,1978,1407,126,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,GJ,Gujarat,GJ_Other State,Other State,162,0,159,3,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,397644,2224,391784,3636,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,13219,40,13074,105,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,15834,52,15729,53,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,5848,28,5738,82,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,18726,148,18412,166,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,17702,82,17468,152,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,30234,159,29711,364,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,2375,13,2314,48,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,3757,1,3718,38,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,11321,6,11269,46,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,1261,1,1242,18,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,5352,15,5248,89,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,37003,464,36311,228,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,9822,23,9732,67,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,42290,74,41696,520,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,22789,2,22515,272,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,14852,15,14782,55,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,19813,139,19528,146,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,8881,7,8799,75,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,32594,416,31983,195,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,11102,98,10909,95,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,6640,0,6625,15,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,12421,70,12310,41,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,13621,26,13512,83,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,16808,116,16563,129,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,4342,52,4265,25,0,0,0,0,0,,
